ds,yhat,yhat_lower,yhat_upper
2023-01-31,4380.117,2822.9314049206023,5947.914037050992
2023-02-28,4350.275892307693,2710.175148102776,5950.164047738683
2023-03-31,4317.237522986247,2667.2423768238064,6078.697543889805
2023-04-30,4285.264907440663,2622.9100730052655,5914.765941187346
2023-05-31,4252.2265380819745,2578.0674326063963,5887.916432298721
2023-06-30,4220.253922557076,2477.552709628985,5846.028982737238
2023-07-31,4187.215553107756,2527.368768450932,5988.649639866745
2023-08-31,4154.177183734797,2385.25480412456,5878.115003479845
2023-09-30,4122.20456826493,2383.716202208763,5829.67831125231
2023-10-31,4089.166198977782,2320.5996162680917,5747.917070821885
2023-11-30,4057.193583405542,2481.1834536708043,5787.695459558587
2023-12-31,4024.155214018156,2397.3574753688354,5819.123734986884
2024-01-31,3991.1168446232427,2428.3425082984986,5757.398071546689
2024-02-29,3960.209982931226,2264.503556187656,5586.395164552395
2024-03-31,3927.1716135363117,2165.222029995602,5727.588851127136
2024-04-30,3895.198997992847,2070.1370981950636,5595.064526620176
2024-05-31,3862.1606285979333,2177.584524747039,5590.326435731458
2024-06-30,3830.1880130544687,2133.282081295086,5502.746296495453
2024-07-31,3797.1496436595544,2029.2394811255087,5613.028169712702
2024-08-31,3764.1112742646405,1970.3743685215165,5297.20738990382
2024-09-30,3732.1386587211755,2006.9468892501764,5451.42597181698
2024-10-31,3699.1002893262616,1958.3558671583667,5424.563919588952
